Label,Content
0,Asking supporters 2b a “voice for the voiceless” is offensive &amp; inaccurate. Survivors are not voiceless and it’s well past time that we listen 2them. Learn how false narratives harm. https://t.co/snshukMCs0. #HumanTraffickingAwarenessMonth #ListenToSurvivors @Polaris_Project https://t.co/ckwGQZkn09
1,January is #HumanTraffickingAwarenessMonth &amp; #StalkingAwarenessMonth - Episode 7 of #SantanaSays touches on both of these topics while discussing the recent season of Surviving R Kelly &amp; the Netflix Show: You! Thanks in advance for your support! ?? #HumanTrafficking #Stalking https://t.co/R9aMOxwD2F
2,"Join us! Register for a Webinar on Rethinking Violence and the Future of women Series panel conversation. #humantraffickingawarenessmonth

Register Here: https://t.co/u997FoxSoS and PLEASE share with your contacts!

@DeyaniraMurga

#PorTuSeguridad https://t.co/RhXyKLba0u"
3,"On the next International Reporters Roundtable:
Award-Winning #Journalists Todd Bensman, Kay Rubacek and Eric Caron join host Steve Lance as the delve deeply into the #HumanTrafficking industry.

Sat 1pm ET/Sun 7pm ET on NTDTV @NTDNews

#Humantraffickingawarenessmonth https://t.co/E7MENS79wt"
4,"On the next International Reporters Roundtable:
Award-Winning #Journalists Todd Bensman, Kay Rubacek and Eric Caron join host Steve Lance as the delve deeply into the #HumanTrafficking industry.

Sat 1pm ET/Sun 7pm ET on NTDTV @NTDNews

#Humantraffickingawarenessmonth https://t.co/MkJXpL9KGD"
5,"For #HumanTraffickingAwarenessMonth let’s build awareness for how imperative unions are to protecting workers from exploitation, and how ironic it is that Amazon hosted the Tech Against Trafficking Summit 1 week after teamsters + thousands of others protested at the same building"
6,"Ever since my time as Attorney General, I've fought to combat human trafficking. Now as your senator, my legislation is giving our communities new tools in this fight to hold perpetrators accountable and help survivors heal.

#HumanTraffickingAwarenessMonth"
7,January is human trafficking awareness month; we honor survivors of human trafficking and support greater awareness of continuing slavery worldwide. #HumanTraffickingAwarenessMonth https://t.co/RjPHNc38aJ
8,"Did you know that Britney Spears compared her conservatorship to human trafficking? 

How was Britney’s situation similar to trafficking? These graphics from @PAVEinfo explain. 

1/3

#HumanTraffickingAwarenessMonth #JusticeForBritney https://t.co/8DbgJZL4eG"
9,"The Sacramento region has a new hotline for victims of human trafficking at (916) 664-7233. 
OR 
Call Empower Yolo's 24-hour hotline if you need support at (530) 662-1133. 

For more info visit: https://t.co/n5PbB3tee4.
Please share ??
#humantraffickingawarenessmonth https://t.co/rV6rtFxBeZ"
10,"During #HumanTraffickingAwarenessMonth, we are renewing our dedication to ending human trafficking and child exploitation through advocacy and awareness with our partner @ECPATUSA. 
Take action. ??https://t.co/DmZLkeCseX
 #soartogether https://t.co/N7G09YV4BE"
11,"On the next International Reporters Roundtable @IRRonNTD 
Award-Winning #Journalists Todd Bensman, Kay Rubacek and Eric Caron join host Steve Lance as they delve deeply into the #HumanTrafficking industry.
Sat 1pm ET/Sun 7pm ET on NTDTV
#Humantraffickingawarenessmonth https://t.co/U6uXD3BL5d"
12,"DYK: LGBTQIA+ individuals are at a higher risk of being trafficked and forced into sex work.

#HumanTraffickingAwarenessMonth https://t.co/7cMV7fBhBp"
13,TruckingFWD: Truck drivers are in a unique position to help combat human trafficking as the eyes and ears of the road. Call 1.888.373.788 if you see the signs or you believe you can help. @TATruckers #HumanTraffickingAwarenessMonth #EndHumanTrafficking https://t.co/CEb526EoRX
14,Truck drivers are in a unique position to help combat human trafficking as the eyes and ears of the road. Call 1.888.373.788 if you see the signs or you believe you can help. @TATruckers #HumanTraffickingAwarenessMonth #EndHumanTrafficking https://t.co/l9O6B2IT29
15,"LETS GOOOOOO! 

I’m speaking at this event next week Register below. #HumanTraffickingAwarenessMonth https://t.co/hfdnIizmDg"
16,"At any given time, 313,000 people are being trafficked in Texas. We aim to stop that with the help of the #Web3 community. 

Join us with your financial support or sharing this tweet: https://t.co/JxvTzx6v28

#HumanTraffickingAwarenessMonth"
17,"The UN reminds us to keep these three aspects in mind when examining a human trafficking situation: A-M-P

Learn more at https://t.co/WSvyfIDe8n.
#HumanTraffickingAwarenessMonth https://t.co/BQlbNFMwgN"
18,"Fact or fiction? Trafficking can occur in legal and legitimate business settings as well as underground markets. 

#HumanTraffickingAwarenessMonth https://t.co/Oq9ERIx5UI"
19,"For #HumanTraffickingAwarenessMonth, we want to shout out some amazing non-profits doing incredible work to combat trafficking. We’re stronger when we work together. 

Follow the accounts in the thread below to Fill Your Feed with Freedom. https://t.co/zhJXbP1Ok3"
20,One of the biggest things you can do for #HumanTraffickingAwarenessMonth is to not spread misinformation about #humantrafficking. https://t.co/lsSX5eQNLh
21,"Biden has trafficked over 1.4 Million illegal aliens

'Lied To America': GOP Lawmakers Decry Alejandro Mayorkas | 2022 Rewind https://t.co/fdjBHzz5Zk via #HumanTraffickingAwarenessMonth #WokeWatch #BorderCrisis #LiberalsMustGo #Biden #mayorkas"
22,"January is #HumanTraffickingAwarenessMonth Human trafficking is often intertwined with domestic violence. 
Read the article Below to see how a domestic violence victim survived human trafficking.  https://t.co/aQRTWLzTNK https://t.co/MxGWpOpJ7r"
23,"January is #HumanTraffickingAwarenessMonth &amp; we recently sat down with Kimberly Chang, MD, MPH, family physician &amp; Director of Trafficking and Healthcare Policy at our member #CHC @AsianHealth818
Click to read more about her groundbreaking work https://t.co/OYH4A2YHed
#ValueCHCs https://t.co/VUIkmo8Mlb"
24,"A sizable percentage of sex trafficking victims globally are minors, and it is important to remember that minors are not legally able to consent to commercial sex acts under any conditions. #humantraffickingawarenessmonth https://t.co/wbcByEN8Z7"
